ITAPIPOCA (A359);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
02/07/2018;2300;25,6;26,1;25,6;75,0;75,0;71,0;20,9;20,9;20,3;999,7;999,7;998,9;4,2;119,0;8,9;;0,0;
03/07/2018;0000;25,6;25,8;25,3;76,0;77,0;75,0;21,0;21,1;20,8;1000,1;1000,1;999,6;2,5;113,0;7,8;;0,0;
03/07/2018;0100;25,7;25,8;25,4;75,0;76,0;75,0;20,9;21,1;20,7;1000,2;1000,3;999,9;1,9;113,0;5,8;;0,0;
03/07/2018;0200;25,7;25,8;25,5;75,0;77,0;75,0;20,9;21,2;20,8;1000,2;1000,3;1000,1;1,8;152,0;5,7;;0,0;
03/07/2018;0300;25,8;25,8;25,5;77,0;77,0;74,0;21,5;21,5;20,6;1000,0;1000,3;1000,0;3,4;119,0;10,4;;0,0;
03/07/2018;0400;25,8;25,9;25,7;76,0;77,0;76,0;21,3;21,5;21,3;999,5;1000,0;999,5;3,6;131,0;7,9;;0,0;
03/07/2018;0500;25,5;25,8;25,3;77,0;77,0;76,0;21,1;21,4;21,0;999,3;999,5;999,2;3,8;114,0;8,3;;0,0;
03/07/2018;0600;25,1;25,5;25,1;79,0;79,0;77,0;21,2;21,3;21,0;999,1;999,3;999,1;3,5;118,0;9,0;;0,0;
03/07/2018;0700;25,1;25,3;25,0;77,0;80,0;77,0;20,9;21,3;20,9;999,4;999,4;999,1;3,8;108,0;6,8;;0,0;
03/07/2018;0800;25,1;25,2;25,0;75,0;78,0;75,0;20,3;21,1;20,3;999,9;999,9;999,4;3,1;119,0;6,6;;0,0;
03/07/2018;0900;25,5;25,5;25,0;70,0;75,0;70,0;19,7;20,2;19,7;1000,5;1000,5;999,9;2,9;122,0;6,5;8,17;0,0;
03/07/2018;1000;26,6;26,6;25,5;66,0;70,0;66,0;19,7;19,9;19,5;1001,3;1001,3;1000,5;2,9;124,0;6,8;385,30;0,0;
03/07/2018;1100;28,2;28,2;26,5;62,0;66,0;62,0;20,1;20,2;19,2;1001,7;1001,8;1001,3;2,3;117,0;8,2;1195,37;0,0;
03/07/2018;1200;29,8;30,1;27,5;54,0;63,0;54,0;19,6;20,6;19,3;1001,8;1001,9;1001,7;3,1;110,0;5,6;1884,13;0,0;
03/07/2018;1300;31,4;32,0;29,5;47,0;55,0;46,0;18,8;20,1;18,5;1001,5;1001,8;1001,5;3,5;125,0;6,9;2567,22;0,0;
03/07/2018;1400;31,8;32,0;30,3;48,0;50,0;46,0;19,3;19,5;18,4;1001,1;1001,5;1001,1;3,9;129,0;7,6;2622,56;0,0;
03/07/2018;1500;31,7;33,1;30,8;45,0;48,0;43,0;18,4;19,3;17,9;1000,5;1001,1;1000,5;3,3;130,0;7,9;2334,89;0,0;
03/07/2018;1600;33,5;33,9;31,3;39,0;47,0;39,0;17,7;18,9;17,6;999,5;1000,5;999,5;2,4;133,0;7,9;2578,45;0,0;
03/07/2018;1700;33,8;34,1;32,7;38,0;42,0;37,0;17,6;18,7;16,9;998,7;999,5;998,7;3,3;121,0;8,9;2738,05;0,0;
03/07/2018;1800;32,2;34,6;32,2;49,0;49,0;37,0;20,3;20,3;17,4;998,1;998,7;998,1;5,2;74,0;9,0;2054,59;0,0;
03/07/2018;1900;31,0;33,3;30,9;53,0;54,0;47,0;20,2;20,8;20,1;998,2;998,2;998,0;5,2;76,0;10,0;1564,80;0,0;
03/07/2018;2000;29,0;31,0;29,0;58,0;58,0;53,0;19,8;20,4;19,7;998,5;998,5;998,2;4,8;89,0;8,5;779,64;0,0;
03/07/2018;2100;27,0;29,0;27,0;64,0;64,0;58,0;19,7;19,8;19,7;998,9;999,0;998,5;2,8;102,0;8,5;83,56;0,0;
03/07/2018;2200;25,5;27,1;25,5;72,0;72,0;64,0;20,1;20,3;19,6;999,4;999,4;998,9;2,7;47,0;5,3;;0,0;
03/07/2018;2300;25,6;25,6;25,0;73,0;76,0;72,0;20,5;20,7;20,1;999,9;999,9;999,4;2,2;113,0;4,8;;0,0;
04/07/2018;0000;25,8;25,8;25,6;74,0;75,0;72,0;20,7;20,8;20,4;1000,3;1000,4;999,9;3,0;130,0;7,5;;0,0;
04/07/2018;0100;25,5;25,8;25,5;74,0;75,0;74,0;20,6;20,9;20,6;1000,5;1000,6;1000,3;2,4;139,0;6,9;;0,0;
04/07/2018;0200;25,7;25,7;25,5;74,0;74,0;72,0;20,7;20,7;20,1;1000,6;1000,6;1000,4;2,7;132,0;4,9;;0,0;
04/07/2018;0300;25,7;25,7;25,5;78,0;78,0;74,0;21,5;21,5;20,6;1000,5;1000,6;1000,5;4,2;110,0;7,7;;0,0;
04/07/2018;0400;25,7;25,9;25,7;78,0;78,0;77,0;21,5;21,6;21,4;1000,1;1000,5;1000,1;3,5;113,0;8,4;;0,0;
04/07/2018;0500;25,6;25,8;25,6;78,0;78,0;77,0;21,5;21,5;21,4;999,8;1000,2;999,8;4,0;106,0;9,5;;0,0;
04/07/2018;0600;25,4;25,6;25,4;78,0;79,0;78,0;21,3;21,5;21,3;999,7;999,9;999,6;4,4;114,0;9,2;;0,0;
04/07/2018;0700;25,3;25,4;25,0;78,0;79,0;78,0;21,1;21,3;21,0;999,8;999,8;999,6;3,8;102,0;8,3;;0,0;
04/07/2018;0800;25,1;25,5;25,1;78,0;78,0;77,0;21,0;21,2;21,0;1000,0;1000,0;999,7;3,7;95,0;7,1;;0,0;
04/07/2018;0900;24,9;25,3;24,8;78,0;78,0;77,0;20,8;21,1;20,8;1000,4;1000,5;1000,0;3,4;106,0;8,4;4,19;0,0;
04/07/2018;1000;25,9;25,9;24,9;72,0;78,0;72,0;20,6;20,8;20,5;1000,9;1000,9;1000,4;3,7;106,0;8,0;340,61;0,0;
04/07/2018;1100;27,1;27,4;25,9;65,0;73,0;64,0;19,9;20,7;19,4;1001,4;1001,4;1000,9;4,5;138,0;10,4;1220,95;0,0;
04/07/2018;1200;27,7;28,8;26,7;62,0;66,0;59,0;19,8;20,6;19,4;1001,8;1001,8;1001,4;4,0;120,0;10,4;1489,82;0,0;
04/07/2018;1300;28,7;29,4;27,6;58,0;63,0;56,0;19,5;20,7;19,4;1001,6;1001,8;1001,5;3,2;132,0;7,2;2171,16;0,0;
04/07/2018;1400;30,8;32,2;28,1;47,0;61,0;46,0;18,2;20,3;18,2;1001,0;1001,6;1001,0;2,9;107,0;6,5;2217,74;0,0;
04/07/2018;1500;32,4;32,9;30,3;40,0;50,0;40,0;17,3;19,6;17,3;1000,2;1001,0;1000,2;3,2;128,0;7,0;3037,92;0,0;
04/07/2018;1600;32,6;34,2;31,8;42,0;43,0;38,0;17,9;18,4;16,5;999,3;1000,2;999,3;3,2;124,0;8,3;2524,84;0,0;
04/07/2018;1700;32,6;34,3;32,1;39,0;42,0;35,0;16,7;17,8;15,7;998,3;999,3;998,3;3,0;101,0;7,2;1943,05;0,0;
04/07/2018;1800;31,5;33,9;30,9;48,0;50,0;36,0;19,0;19,7;16,1;998,1;998,3;998,0;5,2;79,0;9,8;1227,01;0,0;
04/07/2018;1900;30,5;31,8;30,5;50,0;51,0;48,0;19,0;19,6;18,8;998,5;998,5;998,1;4,8;82,0;10,5;1420,61;0,0;
04/07/2018;2000;28,5;31,0;28,5;52,0;52,0;49,0;17,6;19,4;17,6;998,9;998,9;998,5;4,1;93,0;8,6;746,69;0,0;
04/07/2018;2100;26,9;28,5;26,9;58,0;58,0;52,0;18,0;18,0;17,6;999,5;999,5;998,9;2,8;108,0;7,4;48,68;0,0;
04/07/2018;2200;26,1;26,9;25,7;64,0;65,0;58,0;18,8;18,8;17,9;1000,3;1000,3;999,5;2,9;125,0;6,5;;0,0;
04/07/2018;2300;25,8;26,1;25,7;67,0;67,0;64,0;19,2;19,3;18,7;1000,8;1000,8;1000,3;3,0;134,0;7,0;;0,0;
05/07/2018;0000;25,7;25,9;25,5;70,0;70,0;67,0;19,8;19,8;19,3;1001,2;1001,2;1000,8;3,1;130,0;7,9;;0,0;
05/07/2018;0100;25,4;25,7;25,4;75,0;75,0;70,0;20,6;20,6;19,8;1001,2;1001,2;1001,1;4,4;102,0;9,0;;0,0;
05/07/2018;0200;25,4;25,6;25,4;77,0;77,0;75,0;21,0;21,1;20,6;1001,3;1001,4;1001,2;5,0;111,0;12,4;;0,0;
05/07/2018;0300;25,4;25,6;25,2;75,0;77,0;73,0;20,6;21,0;20,5;1001,0;1001,3;1000,9;4,2;134,0;10,4;;0,0;
05/07/2018;0400;25,3;25,5;25,3;74,0;75,0;74,0;20,4;20,7;20,4;1000,5;1001,0;1000,5;5,0;132,0;11,6;;0,0;
05/07/2018;0500;25,4;25,5;25,3;73,0;74,0;73,0;20,3;20,5;20,1;1000,1;1000,5;1000,1;6,7;136,0;11,8;;0,0;
05/07/2018;0600;25,5;25,5;25,2;70,0;75,0;70,0;19,7;20,4;19,7;999,7;1000,1;999,7;6,7;137,0;11,7;;0,0;
05/07/2018;0700;25,4;25,6;25,2;67,0;73,0;67,0;18,9;20,0;18,9;1000,1;1000,1;999,7;6,5;134,0;14,1;;0,0;
05/07/2018;0800;25,4;25,4;25,0;63,0;67,0;63,0;17,8;18,9;17,8;1000,0;1000,2;999,9;6,0;126,0;13,1;;0,0;
05/07/2018;0900;25,4;25,6;25,2;61,0;63,0;60,0;17,2;17,8;17,2;1000,6;1000,6;1000,0;6,9;129,0;13,7;2,43;0,0;
05/07/2018;1000;25,6;25,6;25,0;63,0;64,0;60,0;18,0;18,1;17,2;1001,5;1001,5;1000,6;3,6;141,0;13,7;331,59;0,0;
05/07/2018;1100;28,2;28,2;25,6;52,0;63,0;52,0;17,4;18,2;17,3;1001,6;1001,6;1001,4;2,8;133,0;7,1;1181,38;0,0;
05/07/2018;1200;29,3;29,9;27,9;44,0;52,0;42,0;15,9;17,4;15,3;1001,9;1002,0;1001,6;3,4;140,0;8,0;1912,34;0,0;
05/07/2018;1300;30,1;30,5;29,3;42,0;44,0;40,0;15,6;15,8;14,9;1001,8;1002,1;1001,7;5,0;138,0;9,5;2480,26;0,0;
05/07/2018;1400;31,7;31,9;30,1;38,0;42,0;38,0;15,6;16,3;15,3;1001,3;1001,8;1001,3;3,9;154,0;9,5;2760,50;0,0;
05/07/2018;1500;32,9;33,4;31,3;32,0;39,0;32,0;14,2;16,0;13,9;1000,4;1001,3;1000,4;3,7;173,0;9,6;2919,25;0,0;
05/07/2018;1600;34,4;34,7;32,5;29,0;33,0;28,0;13,8;14,5;12,8;999,5;1000,4;999,5;4,4;121,0;9,8;3010,41;0,0;
05/07/2018;1700;34,4;35,7;33,8;29,0;30,0;27,0;13,6;14,5;13,1;998,9;999,5;998,8;4,0;102,0;8,1;2801,99;0,0;
05/07/2018;1800;33,2;35,2;33,0;38,0;39,0;27,0;17,0;17,2;12,7;998,7;998,9;998,6;5,3;82,0;9,7;2036,62;0,0;
05/07/2018;1900;31,4;33,4;31,4;42,0;42,0;38,0;16,8;17,5;16,8;999,3;999,3;998,6;5,5;75,0;10,5;1570,16;0,0;
05/07/2018;2000;29,1;31,7;29,1;47,0;47,0;41,0;16,7;17,1;16,1;999,9;999,9;999,3;4,3;75,0;9,0;783,98;0,0;
05/07/2018;2100;26,9;29,1;26,9;57,0;57,0;47,0;17,5;17,5;16,7;1000,7;1000,7;999,9;2,8;109,0;7,6;86,70;0,0;
05/07/2018;2200;26,2;26,9;25,6;61,0;62,0;57,0;18,0;18,1;17,5;1001,3;1001,3;1000,7;1,3;183,0;5,2;;0,0;
05/07/2018;2300;26,2;26,4;25,9;61,0;61,0;60,0;18,1;18,1;17,8;1001,8;1001,8;1001,3;2,4;137,0;8,0;;0,0;
06/07/2018;0000;26,1;26,3;26,1;65,0;65,0;61,0;18,9;18,9;18,0;1002,2;1002,2;1001,8;3,6;127,0;8,3;;0,0;
06/07/2018;0100;25,9;26,1;25,8;69,0;69,0;65,0;19,7;19,7;18,9;1002,6;1002,7;1002,1;3,1;143,0;8,0;;0,0;
06/07/2018;0200;25,8;26,0;25,7;69,0;70,0;69,0;19,7;19,8;19,6;1002,6;1002,8;1002,6;4,0;126,0;8,0;;0,0;
06/07/2018;0300;25,7;25,8;25,5;74,0;74,0;69,0;20,6;20,6;19,6;1002,5;1002,6;1002,5;4,9;118,0;9,3;;0,0;
06/07/2018;0400;25,3;25,6;25,3;77,0;77,0;74,0;20,9;21,1;20,5;1002,1;1002,5;1002,1;4,6;121,0;8,9;;0,0;
06/07/2018;0500;25,1;25,4;25,1;78,0;78,0;76,0;20,9;21,1;20,8;1001,4;1002,1;1001,4;4,1;111,0;8,7;;0,0;
06/07/2018;0600;25,6;25,6;25,1;77,0;78,0;77,0;21,3;21,3;20,9;1001,0;1001,4;1001,0;3,6;110,0;8,1;;0,0;
06/07/2018;0700;25,5;25,6;25,4;78,0;78,0;77,0;21,4;21,4;21,2;1000,8;1001,0;1000,8;3,7;108,0;9,3;;0,0;
06/07/2018;0800;25,0;25,5;24,7;78,0;80,0;78,0;20,9;21,3;20,9;1000,9;1000,9;1000,7;1,7;117,0;6,9;;0,0;
06/07/2018;0900;24,7;25,1;24,3;79,0;80,0;78,0;20,8;21,0;20,5;1001,0;1001,1;1000,9;1,3;83,0;4,1;2,98;0,0;
06/07/2018;1000;26,3;26,3;24,7;68,0;79,0;68,0;20,0;21,0;20,0;1001,8;1001,8;1001,0;5,0;136,0;10,3;329,49;0,0;
06/07/2018;1100;27,9;28,0;26,3;64,0;68,0;64,0;20,6;21,0;19,9;1002,4;1002,4;1001,8;3,6;125,0;8,6;1181,88;0,0;
06/07/2018;1200;29,8;29,9;27,8;54,0;65,0;53,0;19,3;20,8;19,1;1002,3;1002,4;1002,3;3,5;130,0;6,7;1909,20;0,0;
06/07/2018;1300;31,1;31,1;29,7;49,0;54,0;49,0;19,1;19,5;18,4;1002,3;1002,4;1002,2;4,8;115,0;9,0;2294,31;0,0;
06/07/2018;1400;31,7;31,7;29,5;45,0;52,0;45,0;18,3;19,3;18,1;1001,9;1002,4;1001,8;2,8;151,0;9,2;2521,82;0,0;
06/07/2018;1500;32,7;32,7;31,6;42,0;45,0;41,0;18,3;18,6;17,5;1000,7;1001,9;1000,7;3,4;136,0;9,6;3012,05;0,0;
06/07/2018;1600;32,8;33,3;31,6;40,0;43,0;39,0;17,5;18,4;16,9;999,7;1000,8;999,7;3,8;140,0;9,4;2466,87;0,0;
06/07/2018;1700;32,5;33,7;31,7;42,0;42,0;39,0;17,9;18,3;16,9;999,4;999,8;999,4;4,5;134,0;8,8;2077,44;0,0;
06/07/2018;1800;31,4;32,6;31,0;47,0;48,0;41,0;18,6;19,3;17,3;999,5;999,5;999,3;5,4;117,0;9,5;1590,69;0,0;
06/07/2018;1900;29,5;31,4;29,2;54,0;55,0;47,0;19,2;19,3;18,5;999,6;999,8;999,5;3,3;128,0;10,3;835,04;0,0;
06/07/2018;2000;29,3;30,4;29,2;55,0;55,0;52,0;19,3;19,7;19,0;1000,2;1000,2;999,6;4,8;114,0;8,1;502,31;0,0;
06/07/2018;2100;24,9;29,3;24,9;83,0;83,0;55,0;21,7;21,7;19,2;1001,1;1001,1;1000,1;4,6;92,0;11,1;12,50;0,0;
06/07/2018;2200;25,0;25,1;24,9;84,0;84,0;83,0;22,0;22,1;21,8;1001,8;1001,8;1001,1;3,8;81,0;7,3;;0,0;
06/07/2018;2300;25,1;25,1;24,6;83,0;86,0;83,0;22,0;22,3;21,8;1002,1;1002,2;1001,7;5,0;102,0;8,4;;0,0;
07/07/2018;0000;25,1;25,4;25,0;82,0;83,0;80,0;21,8;22,0;21,6;1002,5;1002,5;1002,1;4,2;89,0;8,9;;0,0;
07/07/2018;0100;25,0;25,1;24,8;83,0;85,0;82,0;21,9;22,1;21,7;1002,5;1002,6;1002,4;3,5;108,0;7,6;;0,0;
07/07/2018;0200;24,9;25,1;24,8;80,0;83,0;80,0;21,3;21,9;21,3;1002,3;1002,6;1002,3;3,5;108,0;7,0;;0,0;
07/07/2018;0300;23,5;25,2;23,4;90,0;90,0;79,0;21,7;21,7;21,0;1002,1;1002,4;1002,0;3,2;80,0;7,0;;0,0;
07/07/2018;0400;23,0;23,5;22,8;92,0;92,0;90,0;21,7;21,9;21,4;1001,6;1002,1;1001,6;2,9;100,0;8,1;0,03;0,2;
07/07/2018;0500;23,2;23,2;22,9;92,0;92,0;92,0;21,8;21,9;21,5;1001,0;1001,6;1000,9;3,8;112,0;9,3;0,71;0,2;
07/07/2018;0600;23,2;23,6;23,1;87,0;92,0;87,0;20,9;21,8;20,9;1000,8;1001,0;1000,7;4,9;122,0;11,3;0,95;0,0;
07/07/2018;0700;22,7;23,3;22,7;88,0;88,0;86,0;20,6;20,9;20,5;1001,1;1001,1;1000,8;5,0;117,0;13,1;1,20;0,0;
07/07/2018;0800;22,7;22,9;22,4;90,0;90,0;88,0;20,9;21,1;20,4;1002,0;1002,0;1001,1;4,6;112,0;12,0;;0,2;
07/07/2018;0900;22,6;23,0;22,6;90,0;90,0;89,0;20,9;21,1;20,9;1002,7;1002,7;1002,0;4,3;109,0;10,5;0,54;0,0;
07/07/2018;1000;22,7;22,7;22,5;91,0;92,0;90,0;21,2;21,2;20,9;1003,3;1003,3;1002,7;4,2;90,0;8,6;84,08;0,2;
07/07/2018;1100;22,6;22,9;22,5;91,0;92,0;91,0;21,2;21,4;21,1;1003,8;1003,9;1003,3;3,6;110,0;8,2;274,62;0,2;
07/07/2018;1200;24,2;24,3;22,7;85,0;92,0;85,0;21,6;22,2;21,2;1003,9;1003,9;1003,6;4,8;129,0;9,1;858,99;0,0;
07/07/2018;1300;24,4;24,5;23,6;88,0;89,0;83,0;22,3;22,3;21,2;1003,5;1004,0;1003,5;3,0;114,0;9,1;1025,55;0,0;
07/07/2018;1400;27,4;27,5;24,4;72,0;88,0;70,0;21,8;22,9;21,2;1003,0;1003,5;1003,0;4,2;131,0;7,6;2239,72;0,0;
07/07/2018;1500;27,8;28,5;26,4;67,0;73,0;66,0;21,1;22,5;20,5;1002,5;1003,1;1002,5;4,1;113,0;9,2;2415,73;0,0;
07/07/2018;1600;29,6;30,0;27,7;63,0;68,0;59,0;21,7;22,4;20,8;1001,5;1002,5;1001,5;3,8;95,0;8,8;2664,96;0,0;
07/07/2018;1700;27,6;29,7;27,5;71,0;72,0;61,0;21,8;23,3;20,7;1001,1;1001,5;1001,1;3,3;83,0;7,9;1372,84;0,0;
07/07/2018;1800;24,0;27,8;23,7;88,0;89,0;71,0;21,8;22,2;20,7;1001,3;1001,3;1001,1;3,7;135,0;9,1;356,18;0,2;
07/07/2018;1900;25,6;25,7;24,0;76,0;88,0;76,0;21,2;21,8;20,8;1001,2;1001,3;1001,0;4,2;115,0;9,2;720,93;0,0;
07/07/2018;2000;25,2;25,7;25,2;78,0;78,0;76,0;21,1;21,3;20,9;1001,4;1001,4;1001,2;3,1;102,0;8,1;404,92;0,0;
07/07/2018;2100;24,9;25,3;24,7;79,0;80,0;77,0;21,0;21,1;20,8;1001,9;1001,9;1001,4;2,7;104,0;6,7;63,69;0,0;
07/07/2018;2200;24,6;25,0;24,6;80,0;80,0;78,0;21,0;21,0;20,9;1002,5;1002,5;1001,9;3,4;112,0;6,6;;0,0;
07/07/2018;2300;23,9;24,6;23,9;84,0;84,0;80,0;21,1;21,2;21,0;1002,9;1002,9;1002,5;0,9;73,0;6,6;;0,0;
08/07/2018;0000;23,4;23,9;23,4;88,0;88,0;84,0;21,2;21,3;20,9;1003,5;1003,5;1002,9;2,1;12,0;4,1;;0,0;
08/07/2018;0100;23,1;23,4;23,0;90,0;90,0;88,0;21,3;21,4;21,1;1003,5;1003,5;1003,4;1,4;69,0;4,1;;0,0;
